baseline-timestamp,baseline-diameter_eye_0,baseline-diameter_eye_1,baseline-diameter_binocular,baseline-HR,baseline-RR,Nback_HL-timestamp,Nback_HL-diameter_eye_0,Nback_HL-diameter_eye_1,Nback_HL-diameter_binocular,Nback_HL-HR,Nback_HL-RR,Nback_LL-timestamp,Nback_LL-diameter_eye_0,Nback_LL-diameter_eye_1,Nback_LL-diameter_binocular,Nback_LL-HR,Nback_LL-RR,Nback_ML-timestamp,Nback_ML-diameter_eye_0,Nback_ML-diameter_eye_1,Nback_ML-diameter_binocular,Nback_ML-HR,Nback_ML-RR,VIS_HL-timestamp,VIS_HL-diameter_eye_0,VIS_HL-diameter_eye_1,VIS_HL-diameter_binocular,VIS_HL-HR,VIS_HL-RR,VIS_LL-timestamp,VIS_LL-diameter_eye_0,VIS_LL-diameter_eye_1,VIS_LL-diameter_binocular,VIS_LL-HR,VIS_LL-RR,VIS_ML-timestamp,VIS_ML-diameter_eye_0,VIS_ML-diameter_eye_1,VIS_ML-diameter_binocular,VIS_ML-HR,VIS_ML-RR
,,,,,,60.8,3.334794379817936,3.8499282607698326,3.592361320293884,,,50.52,,2.410869173330124,2.410869173330124,,,71.21,,3.513566151876132,3.513566151876132,,,39.39,,2.269065339820058,2.269065339820058,,,42.16,,2.6026224179163155,2.6026224179163155,,,45.3,2.366453495339457,,2.366453495339457,,
,,,,,,60.81,,3.898239054959855,3.898239054959855,,,50.52,,2.4085922222909875,2.4085922222909875,,,71.22,,3.1215024218870977,3.1215024218870977,,,39.4,3.0858378442887737,2.2810720862955,2.683454965292137,,,42.17,,2.5884715618875562,2.5884715618875562,,,45.3,2.3880748999212638,,2.3880748999212638,,
,,,,,,60.82,,3.8526322803850857,3.8526322803850857,,,50.53,,2.4102564850881345,2.4102564850881345,,,71.23,,3.186852816146565,3.186852816146565,,,39.4,3.183009613594585,2.2810720862955,2.732040849945043,,,42.18,,2.574295669445952,2.574295669445952,,,45.31,,2.28833246234772,2.28833246234772,,
,,,,,,60.83,3.2882116508689614,3.9725606218486105,3.630386136358786,,,50.54,,2.422558230183332,2.422558230183332,,,71.24,,3.26833562621486,3.26833562621486,,,39.41,,2.215272565308504,2.215272565308504,,,42.18,,2.5647007523010403,2.5647007523010403,,,45.32,2.3958359469081127,2.2984027830660683,2.3471193649870905,,
,,,,,,60.84,3.2650815568428766,3.9467701511526365,3.6059258539977566,,,50.55,,2.4019851958541993,2.4019851958541993,,,71.24,,3.3567110456847007,3.3567110456847007,,,39.42,3.1686474774269064,2.25858465383893,2.7136160656329182,,,42.19,,2.618456174160108,2.618456174160108,,,45.32,2.3958359469081127,2.2532332453190853,2.3245345961135992,,
,,,,,,60.85,,3.845581475244385,3.845581475244385,,,50.56,,2.4186544545931143,2.4186544545931143,,,71.25,,3.3594232054335618,3.3594232054335618,,,39.43,3.1117482541325145,2.2110405883315942,2.661394421232054,,,42.2,,2.5164977243901463,2.5164977243901463,,,45.33,2.4230748069609325,2.2662953463115247,2.3446850766362286,,
,,,,,,60.86,,3.908140241931655,3.908140241931655,,,50.56,,2.4144463359291906,2.4144463359291906,,,71.26,,3.267039006894859,3.267039006894859,,,39.44,3.1079582264820056,2.1843157604455845,2.646136993463795,,,42.21,,2.5722605152294444,2.5722605152294444,,,45.34,2.3926464098073255,,2.3926464098073255,,
,,,,,,60.87,,3.7899043582640153,3.7899043582640153,,,50.57,,2.38960220755038,2.38960220755038,,,71.27,,3.4066500739629557,3.4066500739629557,,,39.53,3.043726525517126,,3.043726525517126,,,42.22,,2.588036596063754,2.588036596063754,,,45.34,2.4144613091200435,,2.4144613091200435,,
,,,,,,60.88,3.2382165692925025,3.9266534239900084,3.5824349966412554,,,50.58,,2.4087149187473846,2.4087149187473846,,,71.28,4.004561220278792,3.3803635125044766,3.6924623663916343,,,39.54,3.0697803043606235,2.201840846370602,2.6358105753656127,,,42.22,,2.566919161434769,2.566919161434769,,,45.35,2.389545977850461,2.269698647477287,2.329622312663874,,
,,,,,,60.88,3.2382165692925025,3.8001081972298087,3.519162383261156,,,50.59,,2.4043352000242044,2.4043352000242044,,,71.28,4.004561220278792,3.3828734256309634,3.693717322954878,,,39.54,3.061635364424208,2.201840846370602,2.631738105397405,,,42.24,,2.6206884299583684,2.6206884299583684,,,45.36,2.4178148497590213,2.2598422956427284,2.3388285727008746,,
